symbol,series,date,time,orno,bors,vd,vo,lp,mkt
XXX,EQ,3-Apr-06,9:55:28,200604036670184.00,B,50,50,2752.35,N
XXX,EQ,3-Apr-06,9:55:29,200604036670305.00,B,50,50,2825.6,N
XXX,EQ,3-Apr-06,9:55:32,200604033337258.00,B,200,400,2900.05,N
XXX,EQ,3-Apr-06,9:55:32,200604033337316.00,B,50,50,2822.5,N
XXX,EQ,3-Apr-06,9:55:32,200604033337730.00,S,25,25,3019,N
XXX,EQ,3-Apr-06,9:55:32,200604036671836.00,B,25,25,2880,N
XXX,EQ,3-Apr-06,9:55:33,200604036672350.00,B,5,50,2905,N
XXX,EQ,3-Apr-06,9:55:33,200604036672529.00,B,8,8,2850,N
XXX,EQ,3-Apr-06,9:55:33,200604036672655.00,B,5,5,2907.1,N
XXX,EQ,3-Apr-06,9:55:33,200604036672664.00,B,5,5,2887.1,N
XXX,EQ,3-Apr-06,9:55:34,200604030006831.00,B,100,100,2901,N
XXX,EQ,3-Apr-06,9:55:34,200604030006847.00,S,100,100,2969,N
XXX,EQ,3-Apr-06,9:55:34,200604030007004.00,S,30,200,2979.9,N
XXX,EQ,3-Apr-06,9:55:35,200604036673665.00,S,2,2,3050,N
XXX,EQ,3-Apr-06,9:55:39,200604030010195.00,S,400,400,3000,N
XXX,EQ,3-Apr-06,9:55:41,200604030010762.00,B,400,400,2830,N
XXX,EQ,3-Apr-06,9:55:43,200604030011169.00,B,200,200,2930.05,N
XXX,EQ,3-Apr-06,9:55:44,200604033341594.00,B,10,25,2555.55,N
XXX,EQ,3-Apr-06,9:55:45,200604030011743.00,B,175,175,2910,N
XXX,EQ,3-Apr-06,9:55:45,200604030011756.00,B,175,175,2915,N
XXX,EQ,3-Apr-06,9:55:46,200604036676545.00,B,5,50,2901,N
XXX,EQ,3-Apr-06,9:55:47,200604030011743.00,B,175,175,2915,N
XXX,EQ,3-Apr-06,9:55:48,200604030007702.00,B,10,10,2870,N
XXX,EQ,3-Apr-06,9:55:49,200604030007899.00,B,5,5,2830,N
XXX,EQ,3-Apr-06,9:55:49,200604030012678.00,B,200,200,2910,N
XXX,EQ,3-Apr-06,9:55:49,200604033343878.00,B,100,100,2930,N
XXX,EQ,3-Apr-06,9:55:50,200604030010762.00,B,400,400,2830,N
XXX,EQ,3-Apr-06,9:55:50,200604033343977.00,B,10,10,2850,N
XXX,EQ,3-Apr-06,9:55:51,200604030010195.00,S,400,400,2989,N
XXX,EQ,3-Apr-06,9:55:51,200604033344118.00,S,10,25,3155,N
XXX,EQ,3-Apr-06,9:55:52,200604030011743.00,B,175,175,2931,N
XXX,EQ,3-Apr-06,9:55:53,200604030013790.00,B,600,600,2830.3,N
XXX,EQ,3-Apr-06,9:55:54,200604036678658.00,B,300,300,2928,N
XXX,EQ,3-Apr-06,9:55:56,200604030009909.00,S,100,100,2978,N
XXX,EQ,3-Apr-06,9:55:56,200604030009919.00,S,100,100,2968,N
XXX,EQ,3-Apr-06,9:55:56,200604030009964.00,S,200,200,2989.1,N
XXX,EQ,3-Apr-06,9:55:56,200604030011756.00,B,175,175,2932,N
XXX,EQ,3-Apr-06,9:55:56,200604030014410.00,S,200,200,2999,N
XXX,EQ,3-Apr-06,9:55:56,200604030014418.00,B,400,400,2911,N
XXX,EQ,3-Apr-06,9:55:57,200604036679147.00,B,20,200,2826,N
XXX,EQ,3-Apr-06,9:55:58,200604030010387.00,S,50,50,3000,N
XXX,EQ,3-Apr-06,9:55:58,200604030014746.00,B,40,400,2926,N
XXX,EQ,3-Apr-06,9:55:59,200604030007004.00,S,30,200,2968,N
XXX,EQ,3-Apr-06,9:56:00,200604030013790.00,B,600,600,2933,N
XXX,EQ,3-Apr-06,9:56:02,200604030015704.00,B,100,100,2933,N
XXX,EQ,3-Apr-06,9:56:03,200604030014746.00,B,40,400,2940,N
XXX,EQ,3-Apr-06,9:56:04,200604030011996.00,S,2,2,2998,N
XXX,EQ,3-Apr-06,9:56:04,200604030012678.00,B,200,200,2933,N
XXX,EQ,3-Apr-06,9:56:06,200604030011743.00,B,175,175,2935,N
XXX,EQ,3-Apr-06,9:56:07,200604030016581.00,B,100,100,2980,N
XXX,EQ,3-Apr-06,9:56:09,200604030016960.00,S,1,1,2932,N
XXX,EQ,3-Apr-06,9:56:10,200604030007004.00,S,30,200,2968,N
XXX,EQ,3-Apr-06,9:56:10,200604030012678.00,B,200,200,2941,N
XXX,EQ,3-Apr-06,9:56:10,200604030013482.00,B,10,10,2891.1,N
XXX,EQ,3-Apr-06,9:56:10,200604030013790.00,B,600,600,2940.3,N
XXX,EQ,3-Apr-06,9:56:11,200604036678658.00,B,300,300,2933,N
XXX,EQ,3-Apr-06,9:56:12,200604030011169.00,B,200,200,2930.05,N
XXX,EQ,3-Apr-06,9:56:13,200604030011743.00,B,175,175,2941,N
XXX,EQ,3-Apr-06,9:56:15,200604036682850.00,S,1,1,,Y
XXX,EQ,3-Apr-06,9:56:16,200604030018211.00,B,100,400,2940,N
XXX,EQ,3-Apr-06,9:56:17,200604030018426.00,S,1,1,2970,N
XXX,EQ,3-Apr-06,9:56:18,200604030011743.00,B,175,175,2941.15,N
XXX,EQ,3-Apr-06,9:56:18,200604030018562.00,B,200,200,2941.05,N
XXX,EQ,3-Apr-06,9:56:19,200604036679147.00,B,20,200,2933,N
XXX,EQ,3-Apr-06,9:56:20,200604030014410.00,S,200,200,2999,N
XXX,EQ,3-Apr-06,9:56:21,200604033350205.00,B,10,10,2933,N
XXX,EQ,3-Apr-06,9:56:21,200604033350231.00,S,200,200,2970.55,N
XXX,EQ,3-Apr-06,9:56:21,200604033350252.00,S,287,287,2985.2,N
XXX,EQ,3-Apr-06,9:56:24,200604030013790.00,B,600,600,2940.3,N
XXX,EQ,3-Apr-06,9:56:24,200604030018090.00,B,100,100,2935,N
XXX,EQ,3-Apr-06,9:56:24,200604030018211.00,B,100,400,2942,N
XXX,EQ,3-Apr-06,9:56:25,200604036685032.00,B,20,200,2942.05,N
XXX,EQ,3-Apr-06,9:56:26,200604030018562.00,B,200,200,2941.4,N
XXX,EQ,3-Apr-06,9:56:26,200604030018686.00,B,50,50,2968,N
XXX,EQ,3-Apr-06,9:56:26,200604036685294.00,B,200,200,2942,N
XXX,EQ,3-Apr-06,9:56:27,200604030018828.00,B,25,25,2935,N
XXX,EQ,3-Apr-06,9:56:28,200604033351402.00,S,50,166,2950,N
XXX,EQ,3-Apr-06,9:56:28,200604036685032.00,B,20,200,2942.05,N
XXX,EQ,3-Apr-06,9:56:28,200604036685294.00,B,200,200,2942,N
XXX,EQ,3-Apr-06,9:56:29,200604030012678.00,B,200,200,2941,N
XXX,EQ,3-Apr-06,9:56:31,200604030018562.00,B,200,200,2941.4,N
