symbol,series,date,time,tno,p,vol,bno,sno
XXX,EQ,3-Apr-06,9:56:07,200604030002793.00,2968,100,200604030016581.00,200604030009919.00
XXX,EQ,3-Apr-06,9:56:09,200604030003159.00,2940,1,200604030014746.00,200604030016960.00
XXX,EQ,3-Apr-06,9:56:15,200604030003682.00,2941,1,200604030012678.00,200604036682850.00
XXX,EQ,3-Apr-06,9:56:28,200604030005178.00,2968,50,200604030018686.00,200604033351402.00
XXX,EQ,3-Apr-06,9:56:31,200604030005576.00,2942,1,200604030018211.00,200604030020659.00
XXX,EQ,3-Apr-06,9:56:35,200604030006069.00,2950,1,200604036686879.00,200604033351402.00
XXX,EQ,3-Apr-06,9:56:37,200604030006316.00,2950,20,200604030021512.00,200604033351402.00
XXX,EQ,3-Apr-06,9:56:38,200604030006429.00,2950,95,200604030021655.00,200604033351402.00
XXX,EQ,3-Apr-06,9:56:39,200604030006543.00,2950,1,200604030021655.00,200604036687794.00
XXX,EQ,3-Apr-06,9:56:41,200604030006720.00,2950,5,200604030021655.00,200604033353797.00
XXX,EQ,3-Apr-06,9:56:42,200604030006782.00,2950,25,200604030021655.00,200604036688178.00
XXX,EQ,3-Apr-06,9:56:48,200604030007499.00,2950.05,1,200604033354525.00,200604030023006.00
XXX,EQ,3-Apr-06,9:56:53,200604030007928.00,2950.05,25,200604033354525.00,200604030023787.00
XXX,EQ,3-Apr-06,9:57:08,200604030009398.00,2960,5,200604033358092.00,200604033354053.00
XXX,EQ,3-Apr-06,9:57:11,200604030009738.00,2960,10,200604030026531.00,200604033354053.00
XXX,EQ,3-Apr-06,9:57:11,200604030009742.00,2950.25,10,200604030023856.00,200604036693352.00
XXX,EQ,3-Apr-06,9:57:12,200604030009887.00,2960,15,200604030018090.00,200604033354053.00
XXX,EQ,3-Apr-06,9:57:12,200604030009888.00,2960,1,200604030018090.00,200604030024625.00
XXX,EQ,3-Apr-06,9:57:17,200604030010347.00,2960,84,200604030018090.00,200604030027277.00
XXX,EQ,3-Apr-06,9:57:17,200604030010348.00,2960,25,200604030027271.00,200604030027277.00
XXX,EQ,3-Apr-06,9:57:17,200604030010349.00,2950.25,41,200604030023856.00,200604030027277.00
XXX,EQ,3-Apr-06,9:57:17,200604030010350.00,2950.05,24,200604033354525.00,200604030027277.00
XXX,EQ,3-Apr-06,9:57:17,200604030010351.00,2950,10,200604030022262.00,200604030027277.00
XXX,EQ,3-Apr-06,9:57:17,200604030010352.00,2950,3,200604033355098.00,200604030027277.00
XXX,EQ,3-Apr-06,9:57:17,200604030010353.00,2950,1,200604030025242.00,200604030027277.00
XXX,EQ,3-Apr-06,9:57:17,200604030010378.00,2949,112,200604036679147.00,200604030027277.00
XXX,EQ,3-Apr-06,9:57:21,200604030010881.00,2968.5,1,200604036695172.00,200604036689134.00
XXX,EQ,3-Apr-06,9:57:27,200604030011419.00,2960,2,200604036694420.00,200604036696158.00
XXX,EQ,3-Apr-06,9:57:27,200604030011420.00,2960,48,200604033359960.00,200604036696158.00
XXX,EQ,3-Apr-06,9:57:30,200604030011659.00,2960,52,200604033359960.00,200604036696617.00
XXX,EQ,3-Apr-06,9:57:30,200604030011660.00,2960,25,200604036694937.00,200604036696617.00
XXX,EQ,3-Apr-06,9:57:30,200604030011661.00,2960,5,200604030028059.00,200604036696617.00
XXX,EQ,3-Apr-06,9:57:30,200604030011662.00,2960,25,200604030028320.00,200604036696617.00
XXX,EQ,3-Apr-06,9:57:30,200604030011663.00,2960,225,200604036694937.00,200604036696617.00
XXX,EQ,3-Apr-06,9:57:40,200604030012769.00,2960,5,200604033363092.00,200604036696617.00
XXX,EQ,3-Apr-06,9:57:44,200604030013237.00,2960,1,200604033363653.00,200604036696617.00
XXX,EQ,3-Apr-06,9:57:44,200604030013352.00,2960,34,200604030031122.00,200604036696617.00
XXX,EQ,3-Apr-06,9:57:44,200604030013358.00,2960,1,200604030031128.00,200604036696617.00
XXX,EQ,3-Apr-06,9:57:52,200604030014253.00,2960,10,200604036700594.00,200604036696617.00
XXX,EQ,3-Apr-06,9:57:59,200604030015030.00,2955,1,200604033361941.00,200604036701975.00
XXX,EQ,3-Apr-06,9:57:59,200604030015031.00,2955,8,200604036697691.00,200604036701975.00
XXX,EQ,3-Apr-06,9:58:03,200604030015450.00,2959.95,200,200604030033591.00,200604036702110.00
XXX,EQ,3-Apr-06,9:58:03,200604030015451.00,2960,17,200604030033591.00,200604036696617.00
XXX,EQ,3-Apr-06,9:58:03,200604030015452.00,2960,400,200604030033591.00,200604030030356.00
XXX,EQ,3-Apr-06,9:58:03,200604030015453.00,2968.5,4,200604030033591.00,200604036689134.00
XXX,EQ,3-Apr-06,9:58:03,200604030015511.00,2969,200,200604030033591.00,200604036702789.00
XXX,EQ,3-Apr-06,9:58:07,200604030015940.00,2969,400,200604030033591.00,200604036703528.00
XXX,EQ,3-Apr-06,9:58:09,200604030016117.00,2969,1,200604030033591.00,200604033367327.00
XXX,EQ,3-Apr-06,9:58:10,200604030016145.00,2970,1,200604033367395.00,200604030018426.00
XXX,EQ,3-Apr-06,9:58:10,200604030016146.00,2970,1,200604033367395.00,200604033359352.00
